userName,fullName,email,identifyCard,gender,birthDate,joinDate,unit_name,password,role_name,isAdmin
sv01,Nguyen Van A,sv01@hnue.edu.vn,100000001,M,2001-01-01,2020-03-26,Khoa CNTT,123456,Đoàn viên,0
sv02,Tran Thi B,sv02@hnue.edu.vn,100000002,F,2002-04-15,2021-02-20,Chi đoàn K72E3,123456,Đoàn viên,0
sv03,Le Van C,sv03@hnue.edu.vn,100000003,M,2001-05-12,2020-09-01,Chi đoàn K72E1,123456,Đoàn viên,0
sv04,Pham Thi D,sv04@hnue.edu.vn,100000004,F,2002-08-20,2021-09-10,Chi đoàn K72E2,123456,Đoàn viên,0
sv05,Hoang Van E,sv05@hnue.edu.vn,100000005,M,2000-12-05,2019-08-15,Chi đoàn K72A1,123456,Đoàn viên,0
sv06,Nguyen Thi F,sv06@hnue.edu.vn,100000006,F,2001-03-30,2020-11-20,Khoa Toán - Tin,123456,Đoàn viên,0
sv07,Tran Van G,sv07@hnue.edu.vn,100000007,M,1999-07-07,2018-10-01,Khoa CNTT,123456,Đoàn viên,0
sv08,Le Thi H,sv08@hnue.edu.vn,100000008,F,2001-09-09,2020-12-12,Chi đoàn k72E4,123456,Đoàn viên,0
sv09,Pham Van I,sv09@hnue.edu.vn,100000009,M,2000-02-14,2019-03-20,Chi đoàn K72E4,123456,Đoàn viên,0
sv10,Ho Thi K,sv10@hnue.edu.vn,100000010,F,2002-06-18,2021-06-01,Chi đoàn K72A2,123456,Đoàn viên,0
khoa001,Nguyen Van Khoa,khoa001@hnue.edu.vn,100000011,M,1988-05-12,2010-03-01,Khoa CNTT,123456,BCH Khoa,0
khoa002,Tran Thi Khoa,khoa002@hnue.edu.vn,100000012,F,1989-11-20,2011-04-10,Khoa Toán - Tin,123456,BCH Khoa,0
bchkhoa1,BCH Khoa 1,bchkhoa1@doan.org,100000013,M,1985-01-05,2005-09-01,Khoa Toán - Tin,123456,BCH Khoa,0
bchchidoan1,BCH ChiDoan 1,bchcd1@doan.org,100000014,F,1990-02-02,2015-05-10,Chi đoàn K72E1,123456,BCH Chi đoàn,0
bchtruong1,BCH Truong 1,bchtruong1@doan.org,100000015,M,1978-08-08,2000-01-01,Trường Đại học Sư phạm Hà Nội,123456,BCH Trường,0
doanvien01,Doan Vien 01,doanvien01@hnue.edu.vn,100000016,M,2000-10-10,2019-10-10,Chi đoàn K72E2,123456,Đoàn viên,0
doanvien02,Doan Vien 02,doanvien02@hnue.edu.vn,100000017,F,2001-02-02,2020-02-20,Chi đoàn K72A1,123456,Đoàn viên,0
sv11,Le Thi L,sv11@hnue.edu.vn,100000018,F,2001-12-12,2020-07-07,Chi đoàn K72A3,123456,Đoàn viên,0
sv12,Tran Van M,sv12@hnue.edu.vn,100000019,M,2002-01-15,2021-01-20,Chi đoàn K72A4,123456,Đoàn viên,0
sv13,Pham Thi N,sv13@hnue.edu.vn,100000020,F,2000-03-03,2019-05-05,Chi đoàn K72A2,123456,Đoàn viên,0
sv14,Nguyen Van O,sv14@hnue.edu.vn,100000021,M,2001-04-04,2020-04-04,Khoa Ngữ Văn,123456,Đoàn viên,0
lecturer01,Giang Vien 01,gv01@hnue.edu.vn,100000022,M,1980-09-09,2008-09-01,Khoa CNTT,123456,Đoàn viên,0
admin2,Phu Hop Admin,admin2@doan.org,100000023,M,1975-06-06,2000-06-06,Trường Đại học Sư phạm Hà Nội,123456,Quản trị viên,1
officer1,Nhan Vien Phi,officer1@doan.org,100000024,F,1992-07-07,2016-07-10,Chi đoàn K72E1,123456,BCH Chi đoàn,0
officer2,Nhan Vien 2,officer2@doan.org,100000025,M,1991-08-08,2015-08-15,Chi đoàn K72E3,123456,BCH Chi đoàn,0
member21,Thanh Vien 21,member21@hnue.edu.vn,100000026,F,2002-09-09,2021-09-09,Chi đoàn K72E2,123456,Đoàn viên,0
member22,Thanh Vien 22,member22@hnue.edu.vn,100000027,M,2001-11-11,2020-11-11,Chi đoàn K72E1,123456,Đoàn viên,0
member23,Thanh Vien 23,member23@hnue.edu.vn,100000028,F,2002-12-12,2021-12-12,Chi đoàn k72E4,123456,Đoàn viên,0
member24,Thanh Vien 24,member24@hnue.edu.vn,100000029,M,2000-05-05,2019-05-05,Chi đoàn K72E3,123456,Đoàn viên,0
member25,Thanh Vien 25,member25@hnue.edu.vn,100000030,F,2001-06-06,2020-06-06,Chi đoàn K72E1,123456,Đoàn viên,0
member26,Thanh Vien 26,member26@hnue.edu.vn,100000031,M,2002-07-07,2021-07-07,Chi đoàn K72A1,123456,Đoàn viên,0
member27,Thanh Vien 27,member27@hnue.edu.vn,100000032,F,2001-08-08,2020-08-08,Chi đoàn K72A3,123456,Đoàn viên,0
member28,Thanh Vien 28,member28@hnue.edu.vn,100000033,M,2000-09-09,2019-09-09,Chi đoàn K72A4,123456,Đoàn viên,0
